0,7.88E+17,2016-10-17 20:09:59+00:00,congratulations ecuador now it is time to stop being complicit in assanges actions send him back to sweden to face his accuser like a man 
0,1.08E+18,2019-01-11 07:43:00+00:00,thread trump generalizing immigrants as criminals is scary my parents came here from nicaragua in 1979 escaping a war and they spent their whole lives pressing education and the american dream on me my parents and their standard allowed me to play college baseball and push
1,1.15E+18,2019-07-02 14:32:00+00:00,african invaders
0,7.13E+17,2016-03-23 23:54:17+00:00,1st gen immigrants african american students have fewer reciprocal relationships effect of hierarchical societiespentland
0,8.25E+17,2017-01-28 17:45:33+00:00,2 iraqi men held at jfk helped our fucking troops survive a war stop pretending you give a fuck about legal immigrants and veterans
1,1.00E+18,2018-05-30 00:05:43+00:00,white man furious that jack in the box employee wouldnt accept coupon for free burger threatens to send her back to mexico via theroot
1,9.11E+17,2017-09-22 17:15:31+00:00,jesus christ man theyre bringing drugs theyre bringing crime theyre rapists referring to mexican immigrants not the government
0,6.65E+17,2015-11-12 17:26:09+00:00,funny that no one realizes we are the immigrants and mexico owned this land and they are the natives as well as the indians
0,1.16E+18,2019-08-22 20:02:35+00:00,it is the norm in the western hemisphere and true in all of north america nations built by immigrants threw out that old world bullshit try to do at least a little reseach before you embarrass yourself again with that bs
0,1.28E+18,2020-07-07 17:06:52+00:00,"
hello name changers of arizona and americacesar chavez called his own people from mexico wetbacks he doesnt deserve to have anything named after him as well john 832"
0,1.10E+18,2019-03-02 14:56:02+00:00,"you let the meat talk first and then you add sauce as you desire it otherwise you might be covering up some mistakes in a sea of sauce
im not german but i like what those immigrants did wthe mustard seed lexington county sc is ground zero for the german influence on sc cuisine"
0,8.26E+17,2017-01-30 01:14:42+00:00,when organized crime was randant the gov didnt ban people from italy from coming here they just went after the bad guys
1,1.01E+18,2018-07-03 23:41:11+00:00,why arent immigrants seeking asylum going to the us embassy in mexico instead of the border they would be able to stay together and usa wouldnt have to spend great amounts of money to house and feed them
0,9.80E+17,2018-04-01 15:35:34+00:00,"1 yes they are immigrants
2 illegal law breakers means people breaking illegal laws
english isnt that hard but simple logic isnt either youve mastered neither i guess we have decades of gop attacks on public education to blame"
0,8.29E+17,2017-02-06 19:11:18+00:00,darin members of ur family yrs ago immigrated to usa from lebanon and u wont extend immigrants same courtesy given to ur family 
0,1.15E+18,2019-07-07 00:54:44+00:00,how on gods green do you know what it means to be african american one if you paid attention she was born in california that makes her an american just because her parents were immigrants that has nothing to do with how patriotic she is i bet you have immigrants in family
0,1.04E+18,2018-09-12 21:31:19+00:00,wondering where in east tn because my mexican restaurant is owned by mexican immigrants legal ones
0,1.27E+18,2020-06-02 15:28:25+00:00,"please do not block
s386 eliminates the discrimination why indian highskilled immigrant has to wait 50 100 years whereas immigrants from other has to wait less than 1 year how is it fairplease support"
0,1.55E+18,2022-07-28 08:38:34+00:00,caribbean immigrants in the united states 
0,1.11E+18,2019-03-17 04:34:18+00:00,"israel a per day ruth dayan founded in 1955 1st and decorative arts brand which created jobs for new female immigrants and preserved ethnic crafts of the various communities living in israel
womenshistorymonth socialimpact at "
0,8.91E+17,2017-07-28 23:37:31+00:00,yes and its universal many if not all who have struggled can relate african american community women immigrants all who have been
0,9.44E+17,2017-12-22 15:59:21+00:00,12 thank you for being a teacher paula i highly value your work it was actually my 7th grade spanish teacher who taught me about what mexican and central american immigrants face and what they risk to get here
0,1.02E+18,2018-07-10 13:11:59+00:00,"the entire conservative movement is based on fear it lives off feeling threatened
liberals will take your guns
liberals want open borders
immigrants are taking your jobs
minorities are why you didnt get into college
lgbt want to turn your children gay
obama is kenyan"
0,1.38E+18,2021-04-03 22:25:07+00:00,gop reps pull support of candidate following comments about chinese immigrants 
0,1.09E+18,2019-01-21 21:58:27+00:00, israel attacks syria twice in 24hrs yellow vests go global and dhs buses leave immigrants in arizona
0,3.88E+17,2013-10-09 00:03:03+00:00,pretty sure vietnam vets are not a racial group also illegal immigrants are not a racial group
0,8.55E+17,2017-04-21 00:02:45+00:00,no doubt with so many muslims and immigrants in france however im thinking a fraudulent election may prevail i hope and pray im wrong 
0,1.07E+18,2018-12-13 03:48:22+00:00,my grandmother is a damn g grandma pat is the daughter of irish immigrants a total original love you 
0,1.36E+18,2021-02-05 03:25:16+00:00,to clarify youre the daughter of immigrants insisting that a us government take over of native land to make way for a 210k gallon leaky canadian crude line is in the best interest of the american worker fyi wo native americans there would be no american worker nevernikki
0,1.05E+18,2018-10-16 05:04:56+00:00,the cherokee were a splinter off the iroquois not immigrants from south america now people are just making up histories to fit their narratives
0,1.10E+18,2019-03-09 21:38:17+00:00,large number of immigrants whats large to trump is two to 10 people iligitimate russian installed lying pathetic fraud traitor 
0,1.13E+18,2019-05-11 00:42:49+00:00,he also thinks climate change is a chinese hoax so hes deregulated almost all environment protections hes taken federally protected land to try and make money the particular site was a sacred place for the native americans in that region hes been as cruel to immigrants
1,7.71E+17,2016-09-01 04:24:20+00:00,doesnt know there are more illegal canadian immigrants than mexican where is the wall up north
1,8.53E+17,2017-04-16 01:26:57+00:00,what are you going to do send her back to italy 
1,8.62E+17,2017-05-09 19:26:28+00:00,haitian immigrants poisoned the wells thats why we had bubonic plague am i doing this right
1,9.04E+17,2017-09-01 23:47:04+00:00,mexico guatemala not they come here 4 a free ride its not by mistake that 91 of hispanic immigrants are on welfare they use us
0,1.58E+18,2022-10-15 03:52:37+00:00,43 years ago in 1979 my parents immigrated to the united states from hong kong and taiwan the first generation takes nothing for granted and as the son of immigrantsneither do i 
1,6.29E+17,2015-08-07 01:35:40+00:00,reminder cuban immigrants have pathways to direct us citizenship rubio is cuban and wants a fence
0,1.30E+18,2020-09-02 13:20:05+00:00,shes looking for responses esp from bipoc immigrants and language learners and those who grew up in poverty or other challenging situations doesnt matter if your job involves a lot of writing or not just that being able to write is important to you 24
0,1.15E+18,2019-07-01 11:59:47+00:00,but that is a new phenomenon my grandparents were from italy i am almost 67 immigrants use to demand their children speak the language they wanted to assimilate into being an american as quickly as possible
